Tanggal;Jam;Jenis;Kategori;Jumlah;Keterangan
30/05/2023;08:15;Pengeluaran;Listrik Kos;128837;Tagihan listrik kos
30/05/2023;11:45;Pengeluaran;Makan Malam;21072;Makan rutin
31/05/2023;09:45;Pengeluaran;Makan Pagi;6453;Makan rutin
31/05/2023;15:45;Pengeluaran;Makan Siang;11344;Makan rutin
31/05/2023;06:30;Pengeluaran;Makan Pagi;15387;Makan rutin
31/05/2023;14:15;Pengeluaran;Bensin;48661;Pengisian bensin mingguan
01/06/2023;19:30;Pengeluaran;Makan Pagi;7423;Makan rutin
01/06/2023;20:00;Pengeluaran;Makan Siang;10346;Makan rutin
01/06/2023;18:30;Pengeluaran;Makan Pagi;12859;Makan rutin
01/06/2023;12:00;Pengeluaran;Makan Siang;7492;Makan rutin
02/06/2023;07:00;Pengeluaran;Makan Pagi;9335;Makan rutin
02/06/2023;07:45;Pengeluaran;Makan Pagi;8896;Makan rutin
02/06/2023;11:15;Pengeluaran;Makan Pagi;11604;Makan rutin
02/06/2023;18:30;Pengeluaran;Makan Siang;12078;Makan rutin
02/06/2023;08:15;Pengeluaran;Makan Malam;14726;Makan rutin
03/06/2023;17:15;Pengeluaran;Makan Malam;10765;Makan rutin
03/06/2023;14:15;Pengeluaran;Makan Malam;5026;Makan rutin
03/06/2023;10:00;Pengeluaran;Makan Malam;14059;Makan rutin
03/06/2023;20:15;Pengeluaran;Makan Siang;15307;Makan rutin
03/06/2023;09:15;Pengeluaran;Makan Malam;14411;Makan rutin
04/06/2023;13:45;Pengeluaran;Makan Pagi;8970;Makan rutin
04/06/2023;13:00;Pengeluaran;Makan Siang;13642;Makan rutin
04/06/2023;20:00;Pengeluaran;Makan Siang;7732;Makan rutin
05/06/2023;19:45;Pengeluaran;Makan Malam;14876;Makan rutin
05/06/2023;12:00;Pengeluaran;Makan Pagi;6415;Makan rutin
05/06/2023;17:30;Pengeluaran;Makan Pagi;8795;Makan rutin
05/06/2023;06:15;Pengeluaran;Makan Siang;8970;Makan rutin
05/06/2023;16:45;Pengeluaran;Makan Malam;4756;Makan rutin
06/06/2023;08:30;Pengeluaran;Makan Pagi;9412;Makan rutin
06/06/2023;17:00;Pengeluaran;Rekreasi;103673;Jalan-jalan weekend
06/06/2023;10:15;Pengeluaran;Makan Siang;7210;Makan rutin
06/06/2023;20:00;Pengeluaran;Makan Malam;14030;Makan rutin
07/06/2023;12:45;Pengeluaran;Makan Malam;13672;Makan rutin
07/06/2023;18:00;Pengeluaran;Makan Siang;10803;Makan rutin
07/06/2023;14:15;Pengeluaran;Makan Malam;14564;Makan rutin
07/06/2023;18:15;Pengeluaran;Makan Pagi;14054;Makan rutin
07/06/2023;07:15;Pengeluaran;Makan Pagi;12716;Makan rutin
08/06/2023;07:15;Pengeluaran;Makan Malam;14065;Makan rutin
08/06/2023;07:45;Pengeluaran;Bensin;23131;Pengisian bensin mingguan
08/06/2023;08:15;Pengeluaran;Makan Malam;16347;Makan rutin
08/06/2023;07:00;Pengeluaran;Makan Malam;9135;Makan rutin
08/06/2023;13:15;Pengeluaran;Makan Siang;15165;Makan rutin
09/06/2023;13:30;Pengeluaran;Makan Pagi;10731;Makan rutin
09/06/2023;14:15;Pengeluaran;Makan Pagi;6254;Makan rutin
09/06/2023;15:30;Pengeluaran;Makan Pagi;16251;Makan rutin
10/06/2023;07:45;Pengeluaran;Makan Malam;5648;Makan rutin
10/06/2023;16:00;Pengeluaran;Rekreasi;108282;Jalan-jalan weekend
10/06/2023;10:45;Pengeluaran;Makan Pagi;3099;Makan rutin
11/06/2023;11:00;Pengeluaran;Makan Pagi;10312;Makan rutin
11/06/2023;08:00;Pengeluaran;Makan Siang;4941;Makan rutin
11/06/2023;06:15;Pengeluaran;Listrik Kos;55536;Tagihan listrik kos
11/06/2023;11:45;Pengeluaran;Transportasi Umum;15497;Transportasi alternatif
11/06/2023;13:00;Pengeluaran;Belanja Bulanan;280000;Belanja kebutuhan bulanan
11/06/2023;09:45;Pengeluaran;Makan Pagi;13197;Makan rutin
12/06/2023;13:45;Pengeluaran;Makan Pagi;2432;Makan rutin
12/06/2023;15:30;Pengeluaran;Makan Siang;13094;Makan rutin
12/06/2023;10:00;Pengeluaran;Belanja Bulanan;226135;Belanja kebutuhan bulanan
12/06/2023;10:15;Pengeluaran;Makan Malam;16871;Makan rutin
13/06/2023;11:00;Pengeluaran;Makan Siang;10752;Makan rutin
13/06/2023;06:30;Pengeluaran;Transportasi Umum;12271;Transportasi alternatif
13/06/2023;09:00;Pengeluaran;Makan Malam;4298;Makan rutin
14/06/2023;10:30;Pengeluaran;Makan Malam;7931;Makan rutin
14/06/2023;19:30;Pengeluaran;Makan Malam;10877;Makan rutin
14/06/2023;17:45;Pengeluaran;Transportasi Umum;11312;Transportasi alternatif
14/06/2023;12:45;Pengeluaran;Makan Pagi;11653;Makan rutin
14/06/2023;08:15;Pengeluaran;Makan Pagi;13511;Makan rutin
14/06/2023;18:15;Pengeluaran;Makan Malam;11335;Makan rutin
15/06/2023;10:15;Pengeluaran;Makan Pagi;22439;Makan rutin
15/06/2023;11:45;Pengeluaran;Transportasi Umum;11111;Transportasi alternatif
15/06/2023;06:45;Pengeluaran;Makan Siang;9791;Makan rutin
16/06/2023;18:15;Pengeluaran;Makan Siang;9847;Makan rutin
16/06/2023;18:30;Pengeluaran;Makan Siang;10641;Makan rutin
16/06/2023;07:15;Pengeluaran;Makan Pagi;16935;Makan rutin
16/06/2023;06:15;Pengeluaran;Makan Siang;4190;Makan rutin
17/06/2023;08:15;Pengeluaran;Transportasi Umum;19734;Transportasi alternatif
17/06/2023;17:45;Pengeluaran;Makan Siang;13305;Makan rutin
17/06/2023;20:00;Pengeluaran;Makan Malam;17628;Makan rutin
17/06/2023;20:30;Pengeluaran;Transportasi Umum;7184;Transportasi alternatif
18/06/2023;19:00;Pengeluaran;Makan Pagi;7938;Makan rutin
18/06/2023;17:30;Pengeluaran;Makan Malam;11927;Makan rutin
18/06/2023;09:00;Pengeluaran;Bensin;31037;Pengisian bensin mingguan
18/06/2023;09:00;Pengeluaran;Makan Malam;10506;Makan rutin
18/06/2023;07:45;Pengeluaran;Makan Malam;11199;Makan rutin
18/06/2023;08:45;Pengeluaran;Rekreasi;110020;Jalan-jalan weekend
19/06/2023;13:15;Pengeluaran;Makan Siang;12414;Makan rutin
19/06/2023;06:30;Pengeluaran;Listrik Kos;128793;Tagihan listrik kos
19/06/2023;17:15;Pengeluaran;Makan Siang;5909;Makan rutin
20/06/2023;06:15;Pengeluaran;Rekreasi;88196;Jalan-jalan weekend
20/06/2023;19:45;Pengeluaran;Makan Siang;13415;Makan rutin
20/06/2023;20:00;Pengeluaran;Makan Pagi;13007;Makan rutin
20/06/2023;13:30;Pengeluaran;Listrik Kos;80808;Tagihan listrik kos
21/06/2023;16:30;Pengeluaran;Makan Malam;5124;Makan rutin
21/06/2023;09:00;Pengeluaran;Makan Pagi;14077;Makan rutin
21/06/2023;06:15;Pengeluaran;Belanja Bulanan;282756;Belanja kebutuhan bulanan
22/06/2023;11:00;Pengeluaran;Makan Malam;13952;Makan rutin
22/06/2023;19:00;Pengeluaran;Makan Pagi;14719;Makan rutin
22/06/2023;17:00;Pengeluaran;Makan Pagi;14307;Makan rutin
23/06/2023;20:00;Pengeluaran;Makan Malam;10060;Makan rutin
23/06/2023;12:15;Pengeluaran;Makan Malam;12908;Makan rutin
23/06/2023;10:30;Pengeluaran;Makan Pagi;10273;Makan rutin
23/06/2023;16:00;Pengeluaran;Makan Malam;7510;Makan rutin
24/06/2023;13:30;Pengeluaran;Makan Siang;9312;Makan rutin
24/06/2023;15:00;Pengeluaran;Makan Siang;7028;Makan rutin
24/06/2023;08:45;Pengeluaran;Makan Pagi;14262;Makan rutin
25/06/2023;18:15;Pengeluaran;Makan Pagi;5543;Makan rutin
25/06/2023;07:30;Pengeluaran;Transportasi Umum;8011;Transportasi alternatif
25/06/2023;08:15;Pengeluaran;Makan Pagi;6294;Makan rutin
26/06/2023;20:45;Pengeluaran;Makan Pagi;14890;Makan rutin
26/06/2023;19:15;Pengeluaran;Makan Malam;6892;Makan rutin
26/06/2023;07:00;Pengeluaran;Makan Siang;15056;Makan rutin
26/06/2023;11:30;Pengeluaran;Makan Malam;7262;Makan rutin
26/06/2023;18:30;Pengeluaran;Makan Malam;9291;Makan rutin
26/06/2023;19:30;Pengeluaran;Makan Siang;12091;Makan rutin
27/06/2023;14:45;Pengeluaran;Makan Pagi;13679;Makan rutin
27/06/2023;11:30;Pengeluaran;Makan Malam;6787;Makan rutin
27/06/2023;06:45;Pengeluaran;Makan Siang;13256;Makan rutin
27/06/2023;20:30;Pengeluaran;Makan Malam;15134;Makan rutin
28/06/2023;16:15;Pengeluaran;Belanja Bulanan;270277;Belanja kebutuhan bulanan
28/06/2023;15:15;Pengeluaran;Makan Pagi;15325;Makan rutin
28/06/2023;16:15;Pengeluaran;Makan Malam;13037;Makan rutin
28/06/2023;14:00;Pengeluaran;Makan Siang;5457;Makan rutin
28/06/2023;18:00;Pengeluaran;Makan Pagi;10602;Makan rutin
29/06/2023;13:15;Pengeluaran;Makan Malam;17464;Makan rutin
29/06/2023;17:30;Pengeluaran;Makan Pagi;14607;Makan rutin
29/06/2023;09:00;Pengeluaran;Transportasi Umum;11779;Transportasi alternatif
30/06/2023;14:45;Pengeluaran;Makan Siang;18848;Makan rutin
30/06/2023;20:30;Pengeluaran;Makan Malam;12917;Makan rutin
30/06/2023;19:30;Pengeluaran;Makan Siang;2492;Makan rutin
01/07/2023;16:15;Pengeluaran;Makan Siang;13224;Makan rutin
01/07/2023;13:30;Pengeluaran;Makan Pagi;7257;Makan rutin
01/07/2023;19:45;Pengeluaran;Makan Pagi;11201;Makan rutin
01/07/2023;16:30;Pengeluaran;Makan Siang;16900;Makan rutin
02/07/2023;11:30;Pengeluaran;Makan Siang;14248;Makan rutin
02/07/2023;20:15;Pengeluaran;Makan Malam;7885;Makan rutin
02/07/2023;13:15;Pengeluaran;Listrik Kos;104695;Tagihan listrik kos
02/07/2023;19:15;Pengeluaran;Makan Pagi;11526;Makan rutin
02/07/2023;16:00;Pengeluaran;Listrik Kos;119461;Tagihan listrik kos
03/07/2023;19:15;Pengeluaran;Makan Malam;4413;Makan rutin
03/07/2023;10:15;Pengeluaran;Makan Pagi;8877;Makan rutin
03/07/2023;20:45;Pengeluaran;Belanja Bulanan;252122;Belanja kebutuhan bulanan
03/07/2023;18:00;Pengeluaran;Makan Pagi;13661;Makan rutin
03/07/2023;08:30;Pengeluaran;Makan Siang;12720;Makan rutin
04/07/2023;13:45;Pengeluaran;Makan Pagi;15310;Makan rutin
04/07/2023;08:45;Pengeluaran;Makan Pagi;9151;Makan rutin
04/07/2023;11:45;Pengeluaran;Bensin;26086;Pengisian bensin mingguan
05/07/2023;14:15;Pengeluaran;Makan Siang;14090;Makan rutin
05/07/2023;11:45;Pengeluaran;Makan Pagi;10164;Makan rutin
05/07/2023;20:15;Pengeluaran;Makan Malam;21316;Makan rutin
05/07/2023;08:30;Pengeluaran;Makan Malam;4083;Makan rutin
05/07/2023;10:00;Pengeluaran;Makan Siang;11637;Makan rutin
06/07/2023;18:45;Pengeluaran;Makan Pagi;10529;Makan rutin
06/07/2023;18:15;Pengeluaran;Makan Malam;13497;Makan rutin
06/07/2023;10:15;Pengeluaran;Makan Malam;14768;Makan rutin
06/07/2023;20:15;Pengeluaran;Belanja Bulanan;213028;Belanja kebutuhan bulanan
06/07/2023;10:30;Pengeluaran;Makan Siang;13209;Makan rutin
07/07/2023;10:30;Pengeluaran;Transportasi Umum;18365;Transportasi alternatif
07/07/2023;06:45;Pengeluaran;Makan Pagi;10973;Makan rutin
07/07/2023;17:45;Pengeluaran;Makan Malam;10435;Makan rutin
07/07/2023;14:45;Pengeluaran;Makan Siang;9546;Makan rutin
08/07/2023;14:15;Pengeluaran;Makan Malam;4543;Makan rutin
08/07/2023;13:00;Pengeluaran;Transportasi Umum;10569;Transportasi alternatif
08/07/2023;11:30;Pengeluaran;Makan Malam;6925;Makan rutin
08/07/2023;20:15;Pengeluaran;Makan Siang;13005;Makan rutin
09/07/2023;15:30;Pengeluaran;Makan Malam;15528;Makan rutin
09/07/2023;12:30;Pengeluaran;Transportasi Umum;2329;Transportasi alternatif
09/07/2023;12:15;Pengeluaran;Belanja Bulanan;199546;Belanja kebutuhan bulanan
09/07/2023;07:45;Pengeluaran;Makan Malam;7577;Makan rutin
09/07/2023;09:15;Pengeluaran;Makan Pagi;9580;Makan rutin
10/07/2023;17:15;Pengeluaran;Makan Malam;13379;Makan rutin
10/07/2023;13:45;Pengeluaran;Makan Siang;8032;Makan rutin
10/07/2023;11:15;Pengeluaran;Makan Siang;14695;Makan rutin
10/07/2023;07:15;Pengeluaran;Makan Siang;8696;Makan rutin
10/07/2023;17:15;Pengeluaran;Belanja Bulanan;233018;Belanja kebutuhan bulanan
11/07/2023;11:00;Pengeluaran;Makan Malam;6671;Makan rutin
11/07/2023;11:00;Pengeluaran;Makan Pagi;11579;Makan rutin
11/07/2023;07:45;Pengeluaran;Makan Malam;9768;Makan rutin
11/07/2023;14:45;Pengeluaran;Rekreasi;77604;Jalan-jalan weekend
12/07/2023;11:30;Pengeluaran;Makan Siang;10724;Makan rutin
12/07/2023;10:00;Pengeluaran;Makan Pagi;10006;Makan rutin
12/07/2023;19:45;Pengeluaran;Makan Pagi;8534;Makan rutin
12/07/2023;10:30;Pengeluaran;Makan Siang;13797;Makan rutin
13/07/2023;20:45;Pengeluaran;Makan Siang;2725;Makan rutin
13/07/2023;18:15;Pengeluaran;Makan Malam;9595;Makan rutin
13/07/2023;13:45;Pengeluaran;Makan Pagi;11037;Makan rutin
13/07/2023;09:00;Pengeluaran;Makan Pagi;6590;Makan rutin
14/07/2023;13:45;Pengeluaran;Bensin;23547;Pengisian bensin mingguan
14/07/2023;18:00;Pengeluaran;Makan Pagi;6021;Makan rutin
14/07/2023;20:00;Pengeluaran;Makan Malam;13168;Makan rutin
14/07/2023;15:30;Pengeluaran;Makan Siang;14764;Makan rutin
15/07/2023;20:15;Pengeluaran;Makan Siang;13576;Makan rutin
15/07/2023;15:00;Pengeluaran;Makan Malam;17162;Makan rutin
15/07/2023;15:30;Pengeluaran;Bensin;36136;Pengisian bensin mingguan
16/07/2023;14:15;Pengeluaran;Makan Pagi;15082;Makan rutin
16/07/2023;20:00;Pengeluaran;Makan Pagi;5718;Makan rutin
16/07/2023;06:30;Pengeluaran;Makan Pagi;509;Makan rutin
17/07/2023;08:30;Pengeluaran;Makan Siang;7616;Makan rutin
17/07/2023;16:30;Pengeluaran;Makan Pagi;11617;Makan rutin
17/07/2023;07:00;Pengeluaran;Makan Malam;13399;Makan rutin
18/07/2023;20:45;Pengeluaran;Bensin;23055;Pengisian bensin mingguan
18/07/2023;08:45;Pengeluaran;Makan Pagi;12042;Makan rutin
18/07/2023;07:00;Pengeluaran;Makan Malam;13786;Makan rutin
18/07/2023;07:45;Pengeluaran;Makan Malam;14864;Makan rutin
18/07/2023;12:15;Pengeluaran;Makan Pagi;12042;Makan rutin
18/07/2023;12:45;Pengeluaran;Makan Siang;10321;Makan rutin
19/07/2023;14:00;Pengeluaran;Makan Pagi;16700;Makan rutin
19/07/2023;16:00;Pengeluaran;Makan Siang;8843;Makan rutin
19/07/2023;16:45;Pengeluaran;Makan Siang;10644;Makan rutin
19/07/2023;08:15;Pengeluaran;Makan Pagi;9246;Makan rutin
19/07/2023;16:00;Pengeluaran;Makan Malam;11741;Makan rutin
20/07/2023;14:15;Pengeluaran;Makan Malam;10700;Makan rutin
20/07/2023;08:30;Pengeluaran;Makan Pagi;8534;Makan rutin
20/07/2023;11:15;Pengeluaran;Makan Pagi;11539;Makan rutin
20/07/2023;16:30;Pengeluaran;Belanja Bulanan;227838;Belanja kebutuhan bulanan
21/07/2023;16:45;Pengeluaran;Makan Malam;13569;Makan rutin
21/07/2023;09:30;Pengeluaran;Makan Pagi;12721;Makan rutin
21/07/2023;13:00;Pengeluaran;Makan Pagi;13111;Makan rutin
21/07/2023;20:45;Pengeluaran;Makan Pagi;11342;Makan rutin
21/07/2023;12:15;Pengeluaran;Bensin;27027;Pengisian bensin mingguan
22/07/2023;13:45;Pengeluaran;Makan Malam;12973;Makan rutin
22/07/2023;20:30;Pengeluaran;Makan Malam;9479;Makan rutin
22/07/2023;12:30;Pengeluaran;Rekreasi;57366;Jalan-jalan weekend
22/07/2023;07:30;Pengeluaran;Makan Malam;4949;Makan rutin
23/07/2023;18:00;Pengeluaran;Makan Pagi;7812;Makan rutin
23/07/2023;19:00;Pengeluaran;Makan Siang;9067;Makan rutin
23/07/2023;15:00;Pengeluaran;Makan Siang;3690;Makan rutin
24/07/2023;19:15;Pengeluaran;Makan Malam;10528;Makan rutin
24/07/2023;10:00;Pengeluaran;Makan Siang;8011;Makan rutin
24/07/2023;11:15;Pengeluaran;Makan Siang;8919;Makan rutin
24/07/2023;07:15;Pengeluaran;Makan Malam;9929;Makan rutin
25/07/2023;14:15;Pengeluaran;Makan Pagi;8512;Makan rutin
25/07/2023;20:45;Pengeluaran;Makan Malam;16813;Makan rutin
25/07/2023;09:15;Pengeluaran;Makan Pagi;5556;Makan rutin
25/07/2023;16:00;Pengeluaran;Makan Pagi;10852;Makan rutin
25/07/2023;18:30;Pengeluaran;Makan Pagi;10805;Makan rutin
25/07/2023;07:30;Pengeluaran;Makan Siang;11224;Makan rutin
26/07/2023;11:00;Pengeluaran;Makan Malam;14863;Makan rutin
26/07/2023;10:30;Pengeluaran;Makan Pagi;14783;Makan rutin
